#separator:tab
#html:false
#notetype:Basic
#deck:Mandarin Taiwan
#columns:Hanzi	Pinyin	Indonesian	English	Taiwan Note	Tags
麥當勞	Màidāngláo	McDonald\	McDonald\		scenario::Tempat_&_Merek register::casual tag::Places
肯德基	Kěndéjī	KFC	KFC		scenario::Tempat_&_Merek register::casual tag::Places
摩斯漢堡	Mósī Hànbǎo	MOS Burger	MOS Burger		scenario::Tempat_&_Merek register::casual tag::Places
漢堡王	Hànbǎo Wáng	Burger King	Burger King		scenario::Tempat_&_Merek register::casual tag::Places
必勝客	Bìshèngkè	Pizza Hut	Pizza Hut		scenario::Tempat_&_Merek register::casual tag::Places
鼎泰豐	Dǐng Tài Fēng	Din Tai Fung	Din Tai Fung		scenario::Tempat_&_Merek register::casual tag::Places
統一超商	Tǒngyī Chāoshāng	7-Eleven Taiwan	7-Eleven Taiwan	Most 7-Elevens in Taiwan are run by Uni-President	scenario::Tempat_&_Merek register::casual tag::Places taiwan
全家	Quánjiā	FamilyMart	FamilyMart		scenario::Tempat_&_Merek register::casual tag::Places
萊爾富	Lái\	Hi-Life	Hi-Life		scenario::Tempat_&_Merek register::casual tag::Places
全聯	Quánlián	PX Mart	PX Mart	Most popular supermarket in Taiwan	scenario::Tempat_&_Merek register::casual tag::Places taiwan
大潤發	Dàrùnfā	RT Mart	RT Mart		scenario::Tempat_&_Merek register::casual tag::Places
家樂福	Jiālèfú	Carrefour	Carrefour		scenario::Tempat_&_Merek register::casual tag::Places
好市多	Hǎoshìduō	Costco	Costco		scenario::Tempat_&_Merek register::casual tag::Places
星巴克	Xīngbākè	Starbucks	Starbucks		scenario::Tempat_&_Merek register::casual tag::Places
路易莎	Lùyìshā	Louisa Coffee	Louisa Coffee	Popular local coffee chain, cheaper than Starbucks	scenario::Tempat_&_Merek register::casual tag::Places taiwan
85度C	Bāwǔ Dù C	85°C Bakery Cafe	85°C Bakery Cafe		scenario::Tempat_&_Merek register::casual tag::Places
